ID,Category,Priority,Status,Title,Notes,Your action
GAP-014,Gaps,P2,Done,Milestone-email failures logged,"Thrown + non-2xx, with IDs",
GAP-015,Gaps,P2,Done,Bulk import file validation,Premise stale (CSV parsed client-side),
GAP-016,Gaps,P2,Done,Lead email format validation,Duplicates intentionally allowed,
GAP-017,Gaps,P2,Done,file_number format on deal edit,Single shared regex import+edit,
GAP-018,Gaps,P2,Done,field_type enum check,Allow-list on task responses,
GAP-019,Gaps,P2,Done,APS side auto-detect legacy rows,Reads custom_type for side,
GAP-020,Gaps,P1,Done,activateClientDeals OR filter fix,,
GAP-021,Gaps,P2,Done,Zero-task milestone handling,Resolved by design (keeps manual status),
GAP-022,Gaps,P2,Done,Zero automated tests,,Greenfield test-suite setup
ARC-002,Architecture,P1,Done,Unbounded listUsers loop (N+1),,Cache auth lookups
ARC-004,Architecture,P2,Done,Removed duplicate route stubs,Legacy URLs via next.config redirects,
ARC-005,Architecture,P2,Done,Central dealMapper (toDeal),Used by list + detail,
ARC-008,Architecture,P2,Done,Global error boundary,error.tsx + global-error.tsx,
ARC-010,Architecture,P2,Done,CLAUDE.md architecture brief,Authored,
ARC-011,Architecture,P2,Done,Structured logger (LOG_LEVEL),Adopted in session code,Optionally set LOG_LEVEL=warn in prod
ARC-012,Architecture,P2,Done,Test/release gate in CI,Largely covered by SEC-028 CI; tests=GAP-022,
SEC-003,Security,P0,In progress,Private document storage,Code done both repos; dormant behind flag,"Provision private-capable Blob store, then flip NEXT_PUBLIC_PRIVATE_BLOB"
CMP-001,Compliance,P0,In progress,Gov IDs on public storage (=SEC-003),See SEC-003,See SEC-003
SEC-004,Security,P1,Deferred,Per-deal ownership (IDOR),'All admins see all' kept as intended,Revisit if you add teams/brokers
SEC-015,Security,P2,Deferred,daisyUI v3 outdated,"Major upgrade, visual-regression risk",Approve + QA later
SEC-018,Security,P2,Deferred,Align Tailwind 3/4,Major dep change,Approve + QA later
SEC-021,Security,P2,Deferred,Virus-scan uploads,Reduced by GAP-009 type limits,Pick a scanning service
CMP-006,Compliance,P1,Deferred,CASL unsubscribe + postal address,Emails lack unsubscribe,Give me iClosed mailing address
ARC-007,Architecture,P2,Deferred,Mixed Tailwind 3+4,Tied to SEC-018,Approve + QA later
CMP-003,Compliance,P0,Not started,Gemini sub-processor DPA/disclosure,Legal + code,Sign DPA / disclose in privacy policy
ARC-001,Architecture,P1,Not started,Pagination on /api/admin/deals,Whole table returned,Frontend + API
ARC-003,Architecture,P2,Not started,DealList virtualization,Needs pagination first,
ARC-006,Architecture,P2,Not started,Pervasive any types,,Repo-wide sweep
ARC-009,Architecture,P2,Not started,Consistent API error shape,,~84-route sweep (decision)
