ID,Category,Priority,Status,Title,Notes,Your action
GAP-020,Gaps,P1,Done,activateClientDeals OR filter fix,,
GAP-021,Gaps,P2,Done,Zero-task milestone handling,Resolved by design (keeps manual status),
ARC-004,Architecture,P2,Done,Removed duplicate route stubs,Legacy URLs via next.config redirects,
ARC-005,Architecture,P2,Done,Central dealMapper (toDeal),Used by list + detail,
ARC-008,Architecture,P2,Done,Global error boundary,error.tsx + global-error.tsx,
ARC-010,Architecture,P2,Done,CLAUDE.md architecture brief,Authored,
ARC-011,Architecture,P2,Done,Structured logger (LOG_LEVEL),Adopted in session code,Optionally set LOG_LEVEL=warn in prod
SEC-002,Security,P0,In progress,Webhook HMAC signatures,Admin verifies + portal signs; per-endpoint enforcement added,Set SERVICE_WEBHOOK_SECRET in both; then SERVICE_WEBHOOK_ENFORCE_ROUTES=activate-deal
SEC-003,Security,P0,In progress,Private document storage,Code done both repos; dormant behind flag,"Provision private-capable Blob store, then flip NEXT_PUBLIC_PRIVATE_BLOB"
CMP-001,Compliance,P0,In progress,Gov IDs on public storage (=SEC-003),See SEC-003,See SEC-003
SEC-004,Security,P1,Deferred,Per-deal ownership (IDOR),'All admins see all' kept as intended,Revisit if you add teams/brokers
SEC-007,Security,P1,Deferred,Password-reset rate limit,Needs shared store,Set up Upstash Redis when ready
SEC-011,Security,P1,Deferred,Gemini per-user rate limit,Needs shared store,Set up Upstash Redis when ready
SEC-015,Security,P2,Deferred,daisyUI v3 outdated,"Major upgrade, visual-regression risk",Approve + QA later
SEC-018,Security,P2,Deferred,Align Tailwind 3/4,Major dep change,Approve + QA later
SEC-021,Security,P2,Deferred,Virus-scan uploads,Reduced by GAP-009 type limits,Pick a scanning service
SEC-023,Security,P2,Deferred,Activate endpoint lockout,Needs shared store,Set up Upstash Redis when ready
CMP-006,Compliance,P1,Deferred,CASL unsubscribe + postal address,Emails lack unsubscribe,Give me iClosed mailing address
ARC-007,Architecture,P2,Deferred,Mixed Tailwind 3+4,Tied to SEC-018,Approve + QA later
CMP-003,Compliance,P0,Not started,Gemini sub-processor DPA/disclosure,Legal + code,Sign DPA / disclose in privacy policy
GAP-001,Gaps,P1,Not started,Optimistic concurrency on deal edit,Last-write-wins,Migration + frontend conflict UI
GAP-002,Gaps,P2,Not started,Family-deal lookup race,No unique index guard,Migration + conflict handling
GAP-012,Gaps,P2,Not started,Resend retry / outbox,,Needs outbox table + retry job
GAP-015,Gaps,P2,Not started,Bulk import file validation,Premise stale (CSV parsed client-side),
GAP-022,Gaps,P2,Not started,Zero automated tests,,Greenfield test-suite setup
ARC-001,Architecture,P1,Not started,Pagination on /api/admin/deals,Whole table returned,Frontend + API
ARC-002,Architecture,P1,Not started,Unbounded listUsers loop (N+1),,Cache auth lookups
ARC-003,Architecture,P2,Not started,DealList virtualization,Needs pagination first,
ARC-006,Architecture,P2,Not started,Pervasive any types,,Repo-wide sweep
ARC-009,Architecture,P2,Not started,Consistent API error shape,,~84-route sweep (decision)
ARC-012,Architecture,P2,Not started,Test/release gate in CI,Largely covered by SEC-028 CI; tests=GAP-022,
